pp,video,dial,t_begin_s,t_mid_s,t_end_s,duration_s,x_fix,y_fix
1,1,3,72.19275,72.2225,72.25225,0.0595,1621.25,148.55
1,1,2,72.28175,72.467,72.65225,0.3705,1048.1,195.65
1,1,1,72.69475,72.7825,72.87025,0.1755,519.7,301.25
1,1,4,72.9085,73.004,73.0995,0.191,325.3,887.75
1,1,2,73.16375,73.299,73.43425,0.2705,1031.75,262.45
1,1,2,73.447,73.609,73.771,0.324,1046.55,336.15
1,1,3,73.80525,73.90263,74.0,0.19475,1542.2,142.3
1,1,3,74.0,74.59588,75.19175,1.19175,1542.2,142.3
1,1,5,75.235,75.3275,75.42,0.185,1024.0,816.9
1,1,5,75.43625,75.546,75.65575,0.2195,924.45,833.1
1,1,3,75.76225,75.8445,75.92675,0.1645,1558.9,238.4
1,1,3,75.9415,75.97075,76.0,0.0585,1515.5,149.8
1,1,3,76.0,76.03375,76.0675,0.0675,1515.5,149.8
1,1,6,76.25125,76.3205,76.38975,0.1385,1639.8,940.95
1,1,4,76.444,76.5425,76.641,0.197,375.8,923.9
1,1,4,76.65375,76.7005,76.74725,0.0935,320.8,947.75
1,1,5,76.78,76.921,77.062,0.282,899.6,941.95
1,1,5,77.07625,77.129,77.18175,0.1055,940.7,867.1
1,1,2,77.2275,77.325,77.4225,0.195,1110.6,301.3
1,1,2,77.43775,77.6405,77.84325,0.4055,1008.9,275.8
1,1,1,77.879,77.9395,78.0,0.121,368.25,182.3
1,1,1,78.0,78.188,78.376,0.376,368.25,182.3
1,1,1,78.39025,78.577,78.76375,0.3735,384.75,118.4
1,1,4,78.81425,79.0635,79.31275,0.4985,329.35,993.25
1,1,5,79.358,79.5925,79.827,0.469,926.05,817.65
1,1,2,79.86625,79.93312,80.0,0.13375,1041.3,252.2
1,1,2,80.0,80.06137,80.12275,0.12275,1041.3,252.2
1,1,2,80.138,80.702,81.266,1.128,1032.05,332.55
1,1,3,81.302,81.451,81.6,0.298,1543.1,173.6
1,1,5,81.654,81.7835,81.913,0.259,962.95,792.7
1,1,5,81.92475,81.96238,82.0,0.07525,945.57923,786.79222
1,1,5,82.0,82.16463,82.32925,0.32925,945.57923,786.79222
1,1,4,82.3665,82.5075,82.6485,0.282,355.15,983.1
1,1,5,82.68525,83.166,83.64675,0.9615,942.2,851.95
1,1,2,83.715,83.746,83.777,0.062,940.35,394.55
1,1,2,83.791,83.8955,84.0,0.209,952.9,300.65
1,1,2,84.0,84.021,84.042,0.042,952.9,300.65
1,1,5,84.07775,84.164,84.25025,0.1725,939.2,853.1
1,1,3,84.307,84.4565,84.606,0.299,1568.05,182.15
1,1,3,84.621,84.7005,84.78,0.159,1528.95,117.5
1,1,6,84.82625,84.9035,84.98075,0.1545,1632.15,971.5
1,1,5,85.0185,85.2675,85.5165,0.498,947.25,843.5
1,1,6,85.56175,85.642,85.72225,0.1605,1584.0,941.25
1,1,6,85.733,85.7805,85.828,0.095,1635.0,939.05
1,1,4,85.88775,85.94387,86.0,0.11225,359.0,965.35
1,1,4,86.0,86.42562,86.85125,0.85125,359.0,965.35
1,1,5,86.897,87.1145,87.332,0.435,874.4,810.1
1,1,2,87.37875,87.68937,88.0,0.62125,1077.35,324.85
1,1,2,88.0,88.04712,88.09425,0.09425,1077.35,324.85
1,1,3,88.129,88.259,88.389,0.26,1587.8,134.45
1,1,2,88.42025,88.521,88.62175,0.2015,1029.3,348.5
1,1,1,88.66375,88.765,88.86625,0.2025,350.9,184.15
1,1,1,88.879,88.94,89.001,0.122,429.5,200.8
1,2,5,0.19675,0.3805,0.56425,0.3675,985.3,740.0
1,2,2,0.59525,0.686,0.77675,0.1815,1025.4,367.1
1,2,2,0.79025,0.8615,0.93275,0.1425,1004.25,298.8
1,2,2,0.94775,1.0065,1.06525,0.1175,983.9,211.4
1,2,5,1.10225,1.1625,1.22275,0.1205,1035.85,856.9
1,2,5,1.2365,1.462,1.6875,0.451,1028.7,762.2
1,2,4,1.73025,1.86512,2.0,0.26975,385.2,776.4
1,2,4,2.0,2.06787,2.13575,0.13575,385.2,776.4
1,2,5,2.1775,2.3165,2.4555,0.278,992.4,804.35
